id,type,image_path,question,ground_truth_json,gold_chain_json,plot_params_json
fft_00,fft_spectrum,images/fft_00.png,"From the FFT magnitude spectrum, identify the dominant frequency component (Hz). Show your reasoning steps.","{""dominant_frequency_hz"": 78.677}","[""Ignore the DC component at 0 Hz."", ""Find the tallest peak in the magnitude spectrum."", ""Read the corresponding frequency on the x-axis and report it as the dominant frequency.""]","{""fs_hz"": 2000, ""duration_s"": 1.1183860093330873, ""tones_hz"": [79, 117, 191], ""amps"": [1.4095010461397153, 0.9486659872917294, 0.6961765510914207]}"
fft_01,fft_spectrum,images/fft_01.png,"From the FFT magnitude spectrum, identify the dominant frequency component (Hz). Show your reasoning steps.","{""dominant_frequency_hz"": 63.785}","[""Ignore the DC component at 0 Hz."", ""Find the tallest peak in the magnitude spectrum."", ""Read the corresponding frequency on the x-axis and report it as the dominant frequency.""]","{""fs_hz"": 2000, ""duration_s"": 0.7053329387067998, ""tones_hz"": [40, 64], ""amps"": [0.9077958316807456, 1.5137884438732594]}"
fft_02,fft_spectrum,images/fft_02.png,"From the FFT magnitude spectrum, identify the dominant frequency component (Hz). Show your reasoning steps.","{""dominant_frequency_hz"": 181.009}","[""Ignore the DC component at 0 Hz."", ""Find the tallest peak in the magnitude spectrum."", ""Read the corresponding frequency on the x-axis and report it as the dominant frequency.""]","{""fs_hz"": 1000, ""duration_s"": 1.010970743045062, ""tones_hz"": [58, 169, 181], ""amps"": [1.1166275918542752, 0.884600382304681, 1.1172094276935294]}"
fft_03,fft_spectrum,images/fft_03.png,"From the FFT magnitude spectrum, identify the dominant frequency component (Hz). Show your reasoning steps.","{""dominant_frequency_hz"": 114.887}","[""Ignore the DC component at 0 Hz."", ""Find the tallest peak in the magnitude spectrum."", ""Read the corresponding frequency on the x-axis and report it as the dominant frequency.""]","{""fs_hz"": 500, ""duration_s"": 1.2352512163067935, ""tones_hz"": [115, 116], ""amps"": [0.9662863862065222, 0.6529359355688182]}"
fft_04,fft_spectrum,images/fft_04.png,"From the FFT magnitude spectrum, identify the dominant frequency component (Hz). Show your reasoning steps.","{""dominant_frequency_hz"": 109.412}","[""Ignore the DC component at 0 Hz."", ""Find the tallest peak in the magnitude spectrum."", ""Read the corresponding frequency on the x-axis and report it as the dominant frequency.""]","{""fs_hz"": 1000, ""duration_s"": 0.8498033545115794, ""tones_hz"": [110, 169], ""amps"": [1.4707971723381132, 1.1127498997939296]}"
wave_00,time_waveform,images/wave_00.png,"From the time-domain waveform, estimate (a) the fundamental frequency (Hz) and (b) the peak-to-peak amplitude (Vpp). Show your reasoning steps.","{""frequency_hz"": 50.0, ""vpp_v"": 2.551}","[""Estimate the period by measuring the time between two successive similar points (e.g., peaks) on the waveform."", ""Compute frequency = 1 / period."", ""Estimate peak-to-peak amplitude as (maximum − minimum) value on the y-axis.""]","{""wave_type"": ""sine"", ""f0_hz"": 50.0, ""A"": 1.2589551826542855, ""fs_hz"": 2000}"
wave_01,time_waveform,images/wave_01.png,"From the time-domain waveform, estimate (a) the fundamental frequency (Hz) and (b) the peak-to-peak amplitude (Vpp). Show your reasoning steps.","{""frequency_hz"": 60.0, ""vpp_v"": 2.257}","[""Estimate the period by measuring the time between two successive similar points (e.g., peaks) on the waveform."", ""Compute frequency = 1 / period."", ""Estimate peak-to-peak amplitude as (maximum − minimum) value on the y-axis.""]","{""wave_type"": ""triangle"", ""f0_hz"": 60.0, ""A"": 1.176539033061388, ""fs_hz"": 2000}"
wave_02,time_waveform,images/wave_02.png,"From the time-domain waveform, estimate (a) the fundamental frequency (Hz) and (b) the peak-to-peak amplitude (Vpp). Show your reasoning steps.","{""frequency_hz"": 60.0, ""vpp_v"": 2.301}","[""Estimate the period by measuring the time between two successive similar points (e.g., peaks) on the waveform."", ""Compute frequency = 1 / period."", ""Estimate peak-to-peak amplitude as (maximum − minimum) value on the y-axis.""]","{""wave_type"": ""square"", ""f0_hz"": 60.0, ""A"": 1.0442689628131616, ""fs_hz"": 2000}"
wave_03,time_waveform,images/wave_03.png,"From the time-domain waveform, estimate (a) the fundamental frequency (Hz) and (b) the peak-to-peak amplitude (Vpp). Show your reasoning steps.","{""frequency_hz"": 250.0, ""vpp_v"": 3.079}","[""Estimate the period by measuring the time between two successive similar points (e.g., peaks) on the waveform."", ""Compute frequency = 1 / period."", ""Estimate peak-to-peak amplitude as (maximum − minimum) value on the y-axis.""]","{""wave_type"": ""sine"", ""f0_hz"": 250.0, ""A"": 1.4864787089207487, ""fs_hz"": 2000}"
wave_04,time_waveform,images/wave_04.png,"From the time-domain waveform, estimate (a) the fundamental frequency (Hz) and (b) the peak-to-peak amplitude (Vpp). Show your reasoning steps.","{""frequency_hz"": 200.0, ""vpp_v"": 2.054}","[""Estimate the period by measuring the time between two successive similar points (e.g., peaks) on the waveform."", ""Compute frequency = 1 / period."", ""Estimate peak-to-peak amplitude as (maximum − minimum) value on the y-axis.""]","{""wave_type"": ""sine"", ""f0_hz"": 200.0, ""A"": 1.0148292413099087, ""fs_hz"": 2000}"
iv_00,iv_curve,images/iv_00.png,"From the diode I–V curve, estimate the turn-on voltage (V) at I = 1.0 mA. Show your reasoning steps.","{""turn_on_voltage_v_at_target_i"": 0.996, ""target_current_a"": 0.001}","[""Identify the target current level on the y-axis."", ""Find where the I–V curve reaches that current."", ""Read the corresponding voltage on the x-axis and report it as the turn-on voltage at that current.""]","{""kind"": ""diode"", ""Is"": 1e-12, ""nVt"": 0.041743628123834135, ""Rs"": 6.718033496302337}"
iv_01,iv_curve,images/iv_01.png,"From the I–V curve, estimate the resistance (Ohms). Show your reasoning steps.","{""resistance_ohm"": 450.659}","[""For a resistor, the I–V relationship is linear: I = V / R."", ""Estimate the slope dI/dV from two points on the line."", ""Compute R = 1 / slope and report it.""]","{""kind"": ""resistor"", ""R_ohm"": 450.65902005722563}"
iv_02,iv_curve,images/iv_02.png,"From the I–V curve, estimate the resistance (Ohms). Show your reasoning steps.","{""resistance_ohm"": 503.598}","[""For a resistor, the I–V relationship is linear: I = V / R."", ""Estimate the slope dI/dV from two points on the line."", ""Compute R = 1 / slope and report it.""]","{""kind"": ""resistor"", ""R_ohm"": 503.5977402423061}"
iv_03,iv_curve,images/iv_03.png,"From the I–V curve, estimate the resistance (Ohms). Show your reasoning steps.","{""resistance_ohm"": 331.29}","[""For a resistor, the I–V relationship is linear: I = V / R."", ""Estimate the slope dI/dV from two points on the line."", ""Compute R = 1 / slope and report it.""]","{""kind"": ""resistor"", ""R_ohm"": 331.290023465873}"
iv_04,iv_curve,images/iv_04.png,"From the I–V curve, estimate the resistance (Ohms). Show your reasoning steps.","{""resistance_ohm"": 522.348}","[""For a resistor, the I–V relationship is linear: I = V / R."", ""Estimate the slope dI/dV from two points on the line."", ""Compute R = 1 / slope and report it.""]","{""kind"": ""resistor"", ""R_ohm"": 522.3476530711712}"
transfer_00,transfer_characteristic,images/transfer_00.png,"From the transfer characteristic, estimate (a) the small-signal gain (slope in the linear region) and (b) the saturation voltage magnitude (V). Show your reasoning steps.","{""small_signal_gain"": 3.643, ""saturation_v"": 4.107}","[""Identify the central linear region where output changes proportionally with input."", ""Estimate slope in that region using two points: gain ≈ Δoutput / Δinput."", ""Identify the flat regions where the output saturates and read the saturation voltage magnitude.""]","{""gain"": 3.643216538316567, ""Vsat"": 4.107363402377495, ""offset"": 0.1550063362792602}"
transfer_01,transfer_characteristic,images/transfer_01.png,"From the transfer characteristic, estimate (a) the small-signal gain (slope in the linear region) and (b) the saturation voltage magnitude (V). Show your reasoning steps.","{""small_signal_gain"": 4.213, ""saturation_v"": 1.654}","[""Identify the central linear region where output changes proportionally with input."", ""Estimate slope in that region using two points: gain ≈ Δoutput / Δinput."", ""Identify the flat regions where the output saturates and read the saturation voltage magnitude.""]","{""gain"": 4.213117130698875, ""Vsat"": 1.6536119960906441, ""offset"": 0.008172747262723323}"
transfer_02,transfer_characteristic,images/transfer_02.png,"From the transfer characteristic, estimate (a) the small-signal gain (slope in the linear region) and (b) the saturation voltage magnitude (V). Show your reasoning steps.","{""small_signal_gain"": 4.192, ""saturation_v"": 3.255}","[""Identify the central linear region where output changes proportionally with input."", ""Estimate slope in that region using two points: gain ≈ Δoutput / Δinput."", ""Identify the flat regions where the output saturates and read the saturation voltage magnitude.""]","{""gain"": 4.192472608528132, ""Vsat"": 3.25538656798653, ""offset"": 0.1712434645243659}"
transfer_03,transfer_characteristic,images/transfer_03.png,"From the transfer characteristic, estimate (a) the small-signal gain (slope in the linear region) and (b) the saturation voltage magnitude (V). Show your reasoning steps.","{""small_signal_gain"": 3.068, ""saturation_v"": 2.707}","[""Identify the central linear region where output changes proportionally with input."", ""Estimate slope in that region using two points: gain ≈ Δoutput / Δinput."", ""Identify the flat regions where the output saturates and read the saturation voltage magnitude.""]","{""gain"": 3.0679901592647036, ""Vsat"": 2.7073471863265963, ""offset"": 0.39189398723031477}"
transfer_04,transfer_characteristic,images/transfer_04.png,"From the transfer characteristic, estimate (a) the small-signal gain (slope in the linear region) and (b) the saturation voltage magnitude (V). Show your reasoning steps.","{""small_signal_gain"": 3.215, ""saturation_v"": 3.146}","[""Identify the central linear region where output changes proportionally with input."", ""Estimate slope in that region using two points: gain ≈ Δoutput / Δinput."", ""Identify the flat regions where the output saturates and read the saturation voltage magnitude.""]","{""gain"": 3.2153740361774723, ""Vsat"": 3.1464917139466455, ""offset"": 0.20933992431534687}"
