id,version,type,item_seed,image_path,question,ground_truth_json,gold_chain_json,plot_params_json,generation_json
iv_00,v2,iv_curve,2747539721480601923,images/iv_00.png,"From the diode I–V curve, estimate the turn-on voltage (V) at I = 1.0 mA. Show your reasoning steps.","{""turn_on_voltage_v_at_target_i"": 1.038721, ""target_current_a"": 0.001}","[""Identify the target current level on the y-axis."", ""Find where the I–V curve reaches that current."", ""Read the corresponding voltage on the x-axis and report it as the turn-on voltage at that current.""]","{""kind"": ""diode"", ""Is"": 1e-12, ""nVt"": 0.04982621685520375, ""Rs"": 12.854245845689107, ""noise_std"": 5e-05}","{""v_min"": 0.0, ""v_max"": 1.2, ""n_points"": 300, ""fixed_point_iters"": 40}"
iv_01,v2,iv_curve,11539854655490049747,images/iv_01.png,"From the diode I–V curve, estimate the turn-on voltage (V) at I = 1.0 mA. Show your reasoning steps.","{""turn_on_voltage_v_at_target_i"": 1.140927, ""target_current_a"": 0.001}","[""Identify the target current level on the y-axis."", ""Find where the I–V curve reaches that current."", ""Read the corresponding voltage on the x-axis and report it as the turn-on voltage at that current.""]","{""kind"": ""diode"", ""Is"": 1e-12, ""nVt"": 0.05995362954265733, ""Rs"": 4.6869079442900246, ""noise_std"": 5e-05}","{""v_min"": 0.0, ""v_max"": 1.2, ""n_points"": 300, ""fixed_point_iters"": 40}"
iv_02,v2,iv_curve,18343074197880331363,images/iv_02.png,"From the diode I–V curve, estimate the turn-on voltage (V) at I = 1.0 mA. Show your reasoning steps.","{""turn_on_voltage_v_at_target_i"": 0.912157, ""target_current_a"": 0.001}","[""Identify the target current level on the y-axis."", ""Find where the I–V curve reaches that current."", ""Read the corresponding voltage on the x-axis and report it as the turn-on voltage at that current.""]","{""kind"": ""diode"", ""Is"": 1e-12, ""nVt"": 0.04351114413237946, ""Rs"": 15.122994185799437, ""noise_std"": 5e-05}","{""v_min"": 0.0, ""v_max"": 1.2, ""n_points"": 300, ""fixed_point_iters"": 40}"
iv_03,v2,iv_curve,5625328370521083205,images/iv_03.png,"From the diode I–V curve, estimate the turn-on voltage (V) at I = 1.0 mA. Show your reasoning steps.","{""turn_on_voltage_v_at_target_i"": 0.702369, ""target_current_a"": 0.001}","[""Identify the target current level on the y-axis."", ""Find where the I–V curve reaches that current."", ""Read the corresponding voltage on the x-axis and report it as the turn-on voltage at that current.""]","{""kind"": ""diode"", ""Is"": 1e-12, ""nVt"": 0.03151665771549807, ""Rs"": 18.5557376730703, ""noise_std"": 5e-05}","{""v_min"": 0.0, ""v_max"": 1.2, ""n_points"": 300, ""fixed_point_iters"": 40}"
iv_04,v2,iv_curve,9198855559109293978,images/iv_04.png,"From the I–V curve, estimate the resistance (Ohms). Show your reasoning steps.","{""resistance_ohm"": 176.986569}","[""For a resistor, the I–V relationship is linear: I = V / R."", ""Estimate the slope dI/dV from two points on the line."", ""Compute R = 1 / slope and report it.""]","{""kind"": ""resistor"", ""R_ohm"": 176.98656936760634, ""noise_std"": 0.0002}","{""v_min"": 0.0, ""v_max"": 1.2, ""n_points"": 300}"
transfer_00,v2,transfer_characteristic,5820992980753678817,images/transfer_00.png,"From the transfer characteristic, estimate (a) the small-signal gain (slope in the linear region) and (b) the saturation voltage magnitude (V). Show your reasoning steps.","{""small_signal_gain"": 3.326742, ""saturation_v"": 2.752665}","[""Identify the central linear region where output changes proportionally with input."", ""Estimate slope in that region using two points: gain ≈ Δoutput / Δinput."", ""Identify the flat regions where the output saturates and read the saturation voltage magnitude.""]","{""gain"": 3.3267415079427742, ""Vsat"": 2.752665001570376, ""offset"": -0.2787929371175788, ""noise_std"": 0.03}","{""x_min"": -2.0, ""x_max"": 2.0, ""n_points"": 400}"
transfer_01,v2,transfer_characteristic,14301822198815395878,images/transfer_01.png,"From the transfer characteristic, estimate (a) the small-signal gain (slope in the linear region) and (b) the saturation voltage magnitude (V). Show your reasoning steps.","{""small_signal_gain"": 2.105258, ""saturation_v"": 4.28991}","[""Identify the central linear region where output changes proportionally with input."", ""Estimate slope in that region using two points: gain ≈ Δoutput / Δinput."", ""Identify the flat regions where the output saturates and read the saturation voltage magnitude.""]","{""gain"": 2.105258084522121, ""Vsat"": 4.2899096352976995, ""offset"": 0.2733707205224999, ""noise_std"": 0.03}","{""x_min"": -2.0, ""x_max"": 2.0, ""n_points"": 400}"
transfer_02,v2,transfer_characteristic,15158929303978123285,images/transfer_02.png,"From the transfer characteristic, estimate (a) the small-signal gain (slope in the linear region) and (b) the saturation voltage magnitude (V). Show your reasoning steps.","{""small_signal_gain"": 4.506082, ""saturation_v"": 2.135712}","[""Identify the central linear region where output changes proportionally with input."", ""Estimate slope in that region using two points: gain ≈ Δoutput / Δinput."", ""Identify the flat regions where the output saturates and read the saturation voltage magnitude.""]","{""gain"": 4.506082010238523, ""Vsat"": 2.1357120975419615, ""offset"": -0.17372275453590788, ""noise_std"": 0.03}","{""x_min"": -2.0, ""x_max"": 2.0, ""n_points"": 400}"
transfer_03,v2,transfer_characteristic,11604944209561317138,images/transfer_03.png,"From the transfer characteristic, estimate (a) the small-signal gain (slope in the linear region) and (b) the saturation voltage magnitude (V). Show your reasoning steps.","{""small_signal_gain"": 1.640479, ""saturation_v"": 1.354214}","[""Identify the central linear region where output changes proportionally with input."", ""Estimate slope in that region using two points: gain ≈ Δoutput / Δinput."", ""Identify the flat regions where the output saturates and read the saturation voltage magnitude.""]","{""gain"": 1.64047876783018, ""Vsat"": 1.354213534967415, ""offset"": -0.3042187494223611, ""noise_std"": 0.03}","{""x_min"": -2.0, ""x_max"": 2.0, ""n_points"": 400}"
transfer_04,v2,transfer_characteristic,8716999891088276154,images/transfer_04.png,"From the transfer characteristic, estimate (a) the small-signal gain (slope in the linear region) and (b) the saturation voltage magnitude (V). Show your reasoning steps.","{""small_signal_gain"": 2.168063, ""saturation_v"": 4.244935}","[""Identify the central linear region where output changes proportionally with input."", ""Estimate slope in that region using two points: gain ≈ Δoutput / Δinput."", ""Identify the flat regions where the output saturates and read the saturation voltage magnitude.""]","{""gain"": 2.168063351447902, ""Vsat"": 4.244935357288355, ""offset"": 0.04998411183604734, ""noise_std"": 0.03}","{""x_min"": -2.0, ""x_max"": 2.0, ""n_points"": 400}"
