provider,model,id,type,field,pred,gold,abs_err,rel_err,abs_tol,rel_tol,pass,latency_s,error,tags
openai,gpt-4.1,bode_01,bode_magnitude,cutoff_hz,200.0,316.996483,116.99648300000001,0.3690781736527973,5.0,0.05,False,0.9470269680023193,,
openai,gpt-4.1,bode_02,bode_magnitude,dc_gain_db,0.0,0.476445,0.476445,1.0,0.5,0.03,True,1.5470530986785889,,
openai,gpt-4.1,bode_02,bode_magnitude,cutoff_hz,100.0,95.082175,4.9178249999999935,0.051721839556152276,5.0,0.05,True,1.5470530986785889,,
openai,gpt-4.1,bode_03,bode_magnitude,dc_gain_db,0.0,0.458386,0.458386,1.0,0.5,0.03,True,1.1833059787750244,,
openai,gpt-4.1,bode_03,bode_magnitude,cutoff_hz,100.0,238.510773,138.510773,0.5807317265287636,5.0,0.05,False,1.1833059787750244,,
openai,gpt-4.1,bode_04,bode_magnitude,dc_gain_db,-2.0,-1.847284,0.15271600000000007,0.08267055850643436,0.5,0.03,True,1.027155876159668,,
openai,gpt-4.1,bode_04,bode_magnitude,cutoff_hz,100.0,213.943745,113.943745,0.532587409835235,5.0,0.05,False,1.027155876159668,,
openai,gpt-4.1,fft_00,fft_spectrum,dominant_frequency_hz,50.0,51.094891,1.094890999999997,0.02142858079489781,2.0,0.03,True,1.1181581020355225,,
openai,gpt-4.1,fft_01,fft_spectrum,dominant_frequency_hz,95.0,94.0,1.0,0.010638297872340425,2.0,0.03,True,1.0182549953460693,,
openai,gpt-4.1,fft_02,fft_spectrum,dominant_frequency_hz,20.0,21.152443,1.1524430000000017,0.05448273752587356,2.0,0.03,True,0.8983910083770752,,
openai,gpt-4.1,fft_03,fft_spectrum,dominant_frequency_hz,10.0,13.133208,3.1332079999999998,0.23857141377795887,2.0,0.03,False,0.9298150539398193,,
openai,gpt-4.1,fft_04,fft_spectrum,dominant_frequency_hz,155.0,153.964588,1.035412000000008,0.006725000946321553,2.0,0.03,True,0.973757266998291,,
openai,gpt-4.1,wave_00,time_waveform,frequency_hz,50.0,60.0,10.0,0.16666666666666666,1.0,0.02,False,1.6976561546325684,,
openai,gpt-4.1,wave_00,time_waveform,vpp_v,2.2,2.200578,0.0005779999999999674,0.00026265826523757277,0.2,0.1,True,1.6976561546325684,,
openai,gpt-4.1,wave_01,time_waveform,frequency_hz,50.0,60.0,10.0,0.16666666666666666,1.0,0.02,False,1.0666708946228027,,
openai,gpt-4.1,wave_01,time_waveform,vpp_v,3.2,3.198674,0.0013260000000001604,0.0004145467778211097,0.2,0.1,True,1.0666708946228027,,
openai,gpt-4.1,wave_02,time_waveform,frequency_hz,50.0,60.0,10.0,0.16666666666666666,1.0,0.02,False,0.9947240352630615,,
openai,gpt-4.1,wave_02,time_waveform,vpp_v,2.7,2.684174,0.015826000000000118,0.005896041016715056,0.2,0.1,True,0.9947240352630615,,
openai,gpt-4.1,wave_03,time_waveform,frequency_hz,0.2,200.0,199.8,0.9990000000000001,1.0,0.02,False,1.1558170318603516,,likely_unit_scale_error_x1000
openai,gpt-4.1,wave_03,time_waveform,vpp_v,4.4,4.423759,0.023759000000000086,0.005370771780289135,0.2,0.1,True,1.1558170318603516,,
openai,gpt-4.1,wave_04,time_waveform,frequency_hz,0.2,200.0,199.8,0.9990000000000001,1.0,0.02,False,1.0055499076843262,,likely_unit_scale_error_x1000
openai,gpt-4.1,wave_04,time_waveform,vpp_v,2.6,2.670841,0.07084099999999971,0.026523855220134673,0.2,0.1,True,1.0055499076843262,,
openai,gpt-4.1,iv_00,iv_curve,turn_on_voltage_v_at_target_i,1.03,1.038721,0.008720999999999979,0.008395902268270285,0.08,0.15,True,0.9377799034118652,,
openai,gpt-4.1,iv_01,iv_curve,turn_on_voltage_v_at_target_i,,1.140927,,,0.08,0.15,False,1.326949119567871,,missing_value
openai,gpt-4.1,iv_02,iv_curve,turn_on_voltage_v_at_target_i,0.9,0.912157,0.012156999999999973,0.013327749499263804,0.08,0.15,True,1.0293159484863281,,
openai,gpt-4.1,iv_03,iv_curve,turn_on_voltage_v_at_target_i,0.68,0.702369,0.022368999999999972,0.03184793178514424,0.08,0.15,True,1.0167388916015625,,
openai,gpt-4.1,iv_04,iv_curve,resistance_ohm,200.0,176.986569,23.013430999999997,0.1300292509766659,10.0,0.05,False,1.231456995010376,,
openai,gpt-4.1,transfer_00,transfer_characteristic,small_signal_gain,3.0,3.326742,0.32674199999999987,0.09821681392786091,0.2,0.1,True,1.0144381523132324,,
openai,gpt-4.1,transfer_00,transfer_characteristic,saturation_v,2.8,2.752665,0.047334999999999905,0.017196062724668604,0.1,0.1,True,1.0144381523132324,,
openai,gpt-4.1,transfer_01,transfer_characteristic,small_signal_gain,2.0,2.105258,0.10525800000000007,0.049997672494297644,0.2,0.1,True,1.1613609790802002,,
openai,gpt-4.1,transfer_01,transfer_characteristic,saturation_v,4.0,4.28991,0.2899099999999999,0.0675795063299696,0.1,0.1,True,1.1613609790802002,,
openai,gpt-4.1,transfer_02,transfer_characteristic,small_signal_gain,4.0,4.506082,0.5060820000000001,0.11231087228328293,0.2,0.1,False,1.2140028476715088,,
openai,gpt-4.1,transfer_02,transfer_characteristic,saturation_v,2.0,2.135712,0.13571199999999983,0.06354414827467367,0.1,0.1,True,1.2140028476715088,,
openai,gpt-4.1,transfer_03,transfer_characteristic,small_signal_gain,2.0,1.640479,0.359521,0.21915611233060586,0.2,0.1,False,1.1586382389068604,,
openai,gpt-4.1,transfer_03,transfer_characteristic,saturation_v,1.4,1.354214,0.04578599999999988,0.033810018209824946,0.1,0.1,True,1.1586382389068604,,
openai,gpt-4.1,transfer_04,transfer_characteristic,small_signal_gain,2.0,2.168063,0.16806300000000007,0.07751758136179625,0.2,0.1,True,0.9828691482543945,,
openai,gpt-4.1,transfer_04,transfer_characteristic,saturation_v,4.0,4.244935,0.2449349999999999,0.057700530161239195,0.1,0.1,True,0.9828691482543945,,
